Organizations,slogan,tech,topic,website,descripton,link,ideas
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm, c++, clang, mlir","compilers, development tools, libraries",http://www.llvm.org,"LLVM Compiler Infrastructure
The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Despite its name, LLVM has little to do with traditional virtual machines. The name ""LLVM"" itself is not an acronym; it is the full name of the project. LLVM began as a research project at the University of Illinois, with the goal of providing a modern, SSA-based compilation strategy capable of supporting both static and dynamic compilation of arbitrary programming languages. Since then, LLVM has grown to be an umbrella project consisting of a number of subprojects, many of which are being used in production by a wide variety of commercial and open source projects as well as being widely used in academic research. In addition to official subprojects of LLVM, there are a broad variety of other projects that use components of LLVM for various tasks. Through these external projects you can use LLVM to compile Ruby, Python, Haskell, Rust, D, PHP, Pure, Lua, Julia, and a number of other languages. A major strength of LLVM is its versatility, flexibility, and reusability, which is why it is being used for such a wide variety of different tasks: everything from doing light-weight JIT compiles of embedded languages like Lua to compiling Fortran code for massive super computers.",https://discourse.llvm.org/t/gsoc-2022-projects-proposals-and-other-information/60386,https://llvm.org/OpenProjects.html
Machine Learning for Science ,Machine learning applications in science,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",https://ml4sci.org/,"Machine learning applications in science
Machine Learning for Science (ML4SCI) is an umbrella organization for machine learning-related projects in science. ML4SCI brings together researchers from universities and scientific laboratories with motivated students to join existing scientific collaborations and contribute to cutting edge science projects across a wide variety of disciplines. Students work on existing problems to develop new machine learning-based approaches and produce open source code that directly contributes to solving these scientific challenges. ML4SCI currently includes projects from a variety of fields. For example, some of them explore the uses of machine learning for particle reconstruction and classification in high-energy physics, deep learning-based searches for dark matter in astrophysics, applications of machine learning techniques to data returned from planetary science missions, applications of quantum machine learning to science, and others. Machine learning ideas and approaches can be broadly applicable and transferable across the scientific domains. The goals of ML4SCI projects are to grow the open-source community in machine learning for science by addressing important scientific challenges and transferring the knowledge and tools of machine learning across the disciplines. We look forward to your applications!",https://ml4sci.org/,https://ml4sci.org/
MariaDB,The fastest growing Open Source Database,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",https://mariadb.org,"The fastest growing Open Source Database
MariaDB Foundation is the non-profit organization behind MariaDB Server, the fastest growing open source databases. MariaDB Foundation's mission is to ensure the continuity of the MariaDB Server code as well as foster and facilitated collaboration within the MariaDB ecosystem. As part of GSoC, MariaDB Foundation seeks to bring more developers into the MariaDB Server (and related projects) code base.",https://mariadb.org/gsoc2022-instructions/,https://mariadb.com/kb/en/google-summer-of-code-2025/
MBDyn,Open Source Multibody Simulation,"python, c++","robotics, scientific computing, multibody dynamics, aeroelasticity, Structural engineering",http://www.mbdyn.org/,"Open Source Multibody Simulation
MBDyn is the first free general purpose Multibody Dynamics analysis software. It has been developed at the Dipartimento di Scienze e Tecnologie Aerospaziali (formerly Dipartimento di Ingegneria Aerospaziale) of the University ""Politecnico di Milano"", Italy. MBDyn features the integrated multidisciplinary simulation of multibody, multiphysics systems, including nonlinear mechanics of rigid and flexible bodies (geometrically exact & composite-ready beam and shell finite elements, component mode synthesis elements, lumped elements) subjected to kinematic constraints, along with smart materials, electric networks, active control, hydraulic networks, and essential fixed-wing and rotorcraft aerodynamics. MBDyn simulates the behavior of heterogeneous mechanical, aeroservoelastic systems based on first principles equations. MBDyn can be easily coupled to external solvers for co-simulation of multiphysics problems, e.g. Computational Fluid Dynamics (CFD), terradynamics, block-diagram solvers like Scicos, Scicoslab and Simulink, using a simple C, C++ or Python peer-side API. MBDyn is being actively developed and used in the aerospace (aircraft, helicopters, tiltrotors, spacecraft), wind energy (wind turbines), automotive (cars, trucks) and mechatronic fields (industrial robots, parallel robots, micro aerial vehicles (MAV)) for analysis and simulation of complex systems dynamics. The extension of available analysis domains to new models and the introduction of new analysis domains is planned, and problem-driven: if you need to solve a specific problem, let us know. Run-time loading of user-defined modules is leveraged to let users extend the feature library (elements, drives, constitutive laws, and more). On GNU/Linux, real-time execution is supported under RTAI, the Real-Time Application Interface, and POSIX tight scheduling.",https://public.gitlab.polimi.it/DAER/mbdyn/-/wikis/Development-Guidelines,https://public.gitlab.polimi.it/DAER/mbdyn/-/wikis/GSoc-Project-Ideas
MDAnalysis,Analysis of molecular simulations data with Python,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, machine-learning",https://www.mdanalysis.org,"Analysis of molecular simulations data with Python
MDAnalysis is a Python library for the analysis of computer simulations of many-body systems at the molecular scale, spanning use cases from interactions of drugs with proteins to novel materials. It is written by scientists for scientists and is used for cutting edge research in biophysics, chemistry, soft-matter physics, and materials research around the world in academia and national research labs. MDAnalysis strives to be highly interoperable and hence a growing number of projects use MDAnalysis as their foundational library or integrate it. The goal of MDAnalysis is to make it easy for users to analyze data that are produced by simulations (primarily molecular dynamics simulations) that run on some of the largest supercomputers in the world. MDAnalysis accomplishes this goal by providing a toolkit of programming building blocks that provide an abstract Python interface to the simulation data — agnostic of the specific simulation package that produced it — that lends itself to interactive data exploration and rapid prototyping but is also a robust foundational library that can form the basis for new computational tools. MDAnalysis allows one to read particle-based trajectories such as the ones produced by MD simulations or individual coordinate frames (such as biomolecules in the Protein Databank format) and access the atomic coordinates through NumPy arrays. Together with a powerful selection language and many implemented analysis algorithms, MDAnalysis provides a flexible and fast framework for complex analysis tasks. Welcoming documentation such as the User Guide https://userguide.mdanalysis.org/ make it easy to get started. New releases are downloaded a few thousand times and the academic papers describing MDAnalysis are cited more than almost two thousand times, indicating the widespread use in the academic community.",https://github.com/MDAnalysis/mdanalysis/wiki/Google-Summer-Of-Code,https://github.com/MDAnalysis/mdanalysis/wiki/GSoC-2025-Project-Ideas
Meshery,"the extensible, collaborative, Kubernetes manager","javascript, golang, kubernetes, visual design","collaboration, devops, Platform Engineering, cloud native infrastructure, infrastructure as design",https://meshery.io,"the extensible, collaborative, Kubernetes manager
As a self-service engineering platform, Meshery enables collaborative design and operation of cloud and cloud native infrastructure. Meshery is for all cloud and cloud native infrastructure. Kubernetes-centric. Kubernetes not required. Infrastructure diversity is a reality for any enterprise. Whether you’re running a single Kubernetes cluster or multiple Kubernetes clusters, on one cloud or multiple clouds, you’ll find that Meshery supports your infrastructure diversity (or lack thereof). Meshery is for engineering teams. Whether you are a Platform Engineer, Site Reliability Engineer, DevOps Engineer, Developer, or Operator, Meshery provides a platform for you to collaborate on the design and operation of your cloud native infrastructure. Whether making a Day 0 adoption choice, a Day 1 configuration and provisioning, or maintaining a Day 2 deployment, Meshery has useful capabilities in either circumstance. Targeted audience for Meshery project would be any technology operators that leverage Cloud and cloud native infrastructure. Meshery is like Google Docs for DevOps. Using Meshery extensions you can freely collaborate across projects and team with multi-player infrastructure design and operation. Meshery enables cloud native best practices with design patterns and the Meshery Catalog. Through Models, Meshery describes infrastructure under management, enabling you to define cloud native designs and patterns and then to export those designs and share within the Meshery Catalog.",https://docs.meshery.io/project/contributing,https://meshery.io/programs/gsoc/2025
MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations","python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network",https://metabrainz.org,"Open music / book metadata, music recommendations
The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It has been set up to build community maintained databases and make them available in the public domain or under Creative Commons licenses. Our data is mostly gathered by volunteers and verified by peer review to ensure it is consistent and correct. All non-commercial use of this data is free, but commercial users are asked to support us in order to help fund the project. We encourage all data users to contribute to the data gathering process so that our data can be as comprehensive as possible. With this data we are building a music social network and bias free music recommendations.",https://wiki.musicbrainz.org/Development/Summer_of_Code/2025,https://wiki.musicbrainz.org/Development/Summer_of_Code/2025
Micro Electronics Research Lab UITU,Accelerating Engineering Innovation,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V",https://www.merledupk.org,"Accelerating Engineering Innovation
A non-profit organization fostering research on IoT, AI and ML based architectures leveraging the open-source RISC-V ISA. The main purpose of this Lab is to train undergraduate students for future Silicon industry.",https://github.com/merledu/Google-Summer-of-Code/wiki/GSoC-Proposal-Template,https://github.com/merledu/Google-Summer-of-Code/wiki/GSoC'25-Project-Ideas-List
MIT App Inventor,Anyone can build apps with global impact,"javascript, java, gwt, swift","education, development tools, android, ios",http://appinventor.mit.edu,"Anyone can build apps with global impact
MIT App Inventor is a free, open source web app that anyone can use to build mobile apps. It has been used by over 8 million people worldwide who have built more than 30 million apps. It is available in twelve different languages and used by people from ages 13 and up.",https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025,https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025
,,,,,,,
Mixxx ,DJ Mixing App With Powerful Features For All DJs,"javascript, c++, qt, pytorch, onnx","music, dj, streaming",https://mixxx.org,"DJ Mixing App With Powerful Features For All DJs
Mixxx is a feature rich DJ mixing application. It supports many MIDI and HID DJ controllers, runs on Win Linux and MacOs. It supports effects, harmonic mixing and beatmatching. Mixxx has an unusually broad community for an open-source project, encompassing performing musicians, C++ addicts, amateur DJs, Internet radio broadcasters, and casual users.",https://github.com/mixxxdj/mixxx/wiki/Gsocadvice,https://github.com/mixxxdj/mixxx/wiki/GSOC-2025-Ideas
National Resource for Network Biology,Developing open source tools for network biology,"python, javascript, json, html, css","machine learning, web application, data science, scientific computing, network biology",https://nrnb.org/gsoc.html,"Developing open source tools for network biology
The National Resource for Network Biology (NRNB, https://www.nrnb.org) organizes the development of free, open-source software technologies to enable network-based visualization, analysis, and biomedical discovery. Biomedical research is increasingly dependent on knowledge expressed in terms of networks, including gene, protein and drug interactions, cell-cell and viral-host communication, and vast social networks. Our technologies enable researchers to assemble and analyze these networks and to use them to better understand biological systems and, in particular, how they fail in disease. The NRNB mentoring organization includes projects such as Cytoscape (https://cytoscape.org/), WikiPathways (https://wikipathways.org/), SBML (https://sbml.org/), and SBGN (https://sbgn.github.io/). This is a great opportunity to work at the intersection of biology and computing! For example, Cytoscape is downloaded over 20,000 times per month by researchers. We take mentoring seriously and are proud of our 96% success rate (https://www.nrnb.org/alumni.html#gsoc-tab) with former students and projects. But don’t take our word for it, read testimonials from prior NRNB students (https://www.nrnb.org/testimonials.html#student-tab) and mentors (https://www.nrnb.org/testimonials.html#mentor-tab)",https://docs.google.com/document/d/1Zi6L38CHEeq2aL6xzv0Ozhd_Y6D71W3yCBGHplmxr6k/edit?usp=sharing,https://github.com/nrnb/GoogleSummerOfCode/issues
Neovim,hyperextensible Vim-based text editor,"c, lua","ai, editor, text-editor",https://neovim.io/,"hyperextensible Vim-based text editor
Neovim is a fork of the Vim text editor, designed for extensibility and usability.",https://github.com/neovim/neovim/wiki/Google-Summer-of-Code,https://github.com/neovim/neovim/wiki/Google-Summer-of-Code#gsoc-ideas-2025
Neuroinformatics Unit,Open-source tools for neuroscience and ML,"python, numpy, pytorch, Scipy, naparipython, c++, r, julia","visualization, neuroscience, data-science, Computer-Vision, neuroanatomy",https://neuroinformatics.dev,"Open-source tools for neuroscience and ML
The Neuroinformatics Unit is dedicated to the development of high quality, accurate, robust, easy to use and maintainable open-source software for neuroscience and machine learning. We collaborate with researchers and other software engineers to advance neuroscience research and make new algorithms and tools available to the global community.",https://neuroinformatics.dev/get-involved/gsoc/guidelines,https://neuroinformatics.dev/get-involved/gsoc/
NumFOCUS,NumFOCUS promotes open source scientific software.,"python, c++, r, julia","data science, graphics, ai, scientific computing, numerical computation",https://numfocus.org,"NumFOCUS promotes open source scientific software.
NumFOCUS supports and promotes world-class, innovative, open source scientific software. Most individual projects, even the wildly successful ones, find the overhead of a non-profit to be too large for their community to bear. NumFOCUS provides a critical service as an umbrella organization for this projects.",https://github.com/numfocus/gsoc/blob/master/CONTRIBUTING-students.md,https://github.com/numfocus/gsoc/blob/master/2025/ideas-list.md
omegaUp,Open CS Education as a catalyst for social change,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://omegaup.org,"Open CS Education as a catalyst for social change
omegaUp is a non-profit organization (501c3) aimed to increase the number of talented Software Engineers in Latin America. Our open source platform omegaUp.com lets students immerse in a learning environment that fosters self paced learning of computer science skills with a democratic access to state-of-the-art learning tools. Teachers and tutors can create new coding challenges or use existing ones to start online programming competitions with local, national or even international reach, with automated grading of student's coding solutions. The omegaUp.com platform also enables teachers to leverage Competitive Programming tools and concepts inside the classroom to improve their educational experience.",https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2025,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2025
Open Climate Fix,Using Computers to Fix Climate Change,"python, pytorch","Forecasting, Climate, renewables",https://www.openclimatefix.org,"Using Computers to Fix Climate Change
Open Climate Fix is a non-profit product lab, developing state-of-the-art renewable energy forecasts to decarbonize the electricity grid.",https://docs.google.com/document/d/19vU8JAhr2ekvtKrZNC067seerZxMHNGrvS9nBrXBP24/edit?usp=sharing,https://docs.google.com/document/d/1nh6pdIjCTSLWwgFhgIV1gpG8CbIqGyoCFDHOfWmKdwA/edit?tab=t.0#heading=h.1ins3zbcqjjv
Open Food Facts,Better food choices for your health & the planet,"python, javascript, machine learning, perl, flutter","open data, health, environment, mobile, food",https://world.openfoodfacts.org/discover,"Better food choices for your health & the planet
Open Food Facts is the ""Wikipedia of food"". Our community collects information about all the food products in the world, using mobile phones to help people make better choices for themselves and the planet, and to transform the whole food system along the way. We do so using mobile crowdsourcing, community involvement and machine learning",https://world.openfoodfacts.org/google-summer-of-code,https://wiki.openfoodfacts.org/GSOC/2025_ideas_list
Open HealthCare Network,Reimagining Healthcare Delivery,"python, django, react, typescript, NextJs",,https://ohc.network/,"Reimagining Healthcare Delivery
Open Healthcare Network (OHC), originally established as Coronasafe Network, is a pioneering open-source organization dedicated to enhancing healthcare delivery and management. At the core of OHC's innovation is its flagship Electronic Medical Record (EMR) system, recognized as the 50th Digital Public Good by the United Nations. This system transcends being merely a digital repository of patient records, evolving into a platform that supports advanced TeleICU capabilities. OHC represents a unique fusion of professional expertise and community-driven innovation, primarily fueled by a small team of dedicated developers and a dynamic community of college students. This collaborative model showcases a new paradigm in healthcare technology, emphasizing impactful, sustainable, and scalable solutions. Originally a volunteer-driven initiative during the COVID-19 pandemic, OHC has continually addressed citizen-level healthcare problems. Its CARE software, adopted by several Indian states, played a crucial role in optimizing healthcare resource management during the pandemic. As the pandemic waned, CARE evolved to support the 10BedICU Project, enabling technology-driven ICU care in rural India and providing TeleICU services to the remotest regions, impacting thousands of lives. Today, beyond the 10BedICU Project, CARE is being adopted for various healthcare applications, including palliative care digitization, demonstrating its adaptability and growing significance in improving healthcare delivery across diverse settings. OHC's journey is a testament to the transformative impact of youth-driven initiatives in healthcare, touching the lives of millions across India.",https://oss.ohc.network/,https://contributors.ohc.network/projects
Open Robotics,Open source software for robotics,"python, ros, gazebo, c++, Open-RMF","robotics, simulation, Control, fleet management",https://www.openrobotics.org/,"Open source software for robotics
Open Robotics supports the development, distribution, and adoption of open source software for use in robotics research, education, and product development.",https://github.com/osrf/osrf_wiki/wiki/GSoC25#application-template-for-students,https://github.com/osrf/osrf_wiki/wiki/GSoC25
Open Science Initiative for Perfusion Imaging,Open access resources for perfusion imaging,"python, github","artificial intelligence, data visualization, data analysis, medical imaging, reproducible science",https://osipi.ismrm.org/,"Open access resources for perfusion imaging
Perfusion Magnetic Resonance Imaging (MRI) is a vital medical imaging technique that assesses blood flow in tissues and thus contributes crucial information for diagnosing conditions such as stroke, tumors, and neurological disorders. Unlike the standard MRI methods that are daily used in hospitals, raw perfusion MRI data require further processing and quantification. This requires dedicated software tools. However, the lack of standardization and the availability of standardized and tested analysis code makes perfusion MRI less accessible and hinders its widespread use. The ISMRM Open Science Initiative for Perfusion Imaging (OSIPI) aims to address this gap and create resources for best practices in perfusion MRI including software and data inventories, code repositories, challenges, and educational material.",https://docs.google.com/document/d/e/2PACX-1vSa8Nvl_Ays9ZL3nYO1UL4hSB9vG2QXfSzWcEaN4jnuWNRJ3Vj58YX0FWI02llw17JaC_jMquAmBoAk/pub,https://docs.google.com/document/d/e/2PACX-1vSuYh57hsLUXbmrA5tozX4Ucne0sRXnmFt5xBA88gzDZJKZYD4-Bq04J9acer2d_i6NP6xhimmz4m5i/pub
Open Science Labs,The community open to science and technology.,"python, javascript, c++, docker, AST","devops, devtools, open-science",https://opensciencelabs.org,"The community open to science and technology.
Open Science Labs is a global community dedicated to creating an open space for teaching, learning, and sharing information about open science and computational tools. Our community develops tools that address real-world problems and collaborates with other projects and workgroups to improve technology and create international opportunities for our community. Although our focus may seem broad, we initially prioritize supporting Research Software Engineers (RSEs) who often face computational challenges in their work. We recognize that many colleagues in scientific fields may not be familiar with programming languages, computational libraries, version control systems, databases, DevOps, and other computational tools. Therefore, we aim to provide a safe and open space for individuals to learn and share their knowledge. Our community is open to everyone, including students, professors, and industry professionals, as we believe that the challenges and technologies used in these fields are frequently similar, if not the same (in many cases).",https://opensciencelabs.org/opportunities/gsoc/guides/contributor/,https://opensciencelabs.org/opportunities/gsoc/project-ideas/
Open Technologies Alliance  GFOSS,Promote Open Standards and Open Source,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, Artificial Inteligence",http://www.gfoss.eu,"Promote Open Standards and Open Source
Open Technologies Alliance (GFOSS) is a non-profit organization, with 37 Universities and Research Centers as its shareholders. Our main goal is to promote Openness. GFOSS – Open Technologies Alliance is a platform for Open Standards, Free Software, Open Content, Open Data & Open Hardware in Greece. The major Greek Universities and Research Centers participate in GFOSS – Open Technologies Alliance, while leading members of the Greek community of developers play a key role in the implementation of our policies. Through our initiatives we aspire to contribute and coordinate the efforts of groups of volunteers, public servants, university researchers and students enabling them to form the backbone of Greek FOSS development and implementation. GFOSS is one of the strategic actors for the promotion of OSS throughout Greece (see https://joinup.ec.europa.eu/sites/default/files/inline-files/OSS%20Country%20Intelligence%20Report_GR.pdf ). Many public administrations and academic institutions collaborate with GFOSS to implement open source projects and through Google Summer of Code we give the opportunity to students to actively engage in the production and the actual implementation of an open source project. GFOSS also contributes and advises on the development of various open source projects related to e-government and digital transformation in Greece (e.g. https://howto.gov.gr/ - https://forma.gov.gr/) and actively promotes the use of Open Source software and hardware in the Greek primary and secondary education through the Open Educational Technologies Competition (https://openedtech.ellak.gr/ )",https://ellak.gr/wiki/index.php?title=Google_Summer_of_Code_2025_proposed_ideas,https://ellak.gr/wiki/index.php?title=Google_Summer_of_Code_2025_proposed_ideas
Open Transit Software Foundation,Help make public transit better,"android, java, golang, docker, ios","ai, apps, Transit, travel, bus",https://opentransitsoftwarefoundation.org,"Help make public transit better
We are the home for the OneBusAway project. OneBusAway is a suite of open source transit information tools based on real-time vehicle data. OneBusAway is a suite of open source transit information tools that enable transit agencies to provide real-time vehicle locations, alerts, and arrival information to riders, with iOS and Android apps, a web platform, and robust APIs, as well as back office support. OneBusAway lets transit agencies be in control, without needing to build everything themselves and without cutting corners.",https://opentransitsoftwarefoundation.org/2024/02/how-to-craft-a-successful-gsoc-proposal/,https://opentransitsoftwarefoundation.org/2025/01/google-summer-of-code-2025-project-ideas/
OpenAFS,An opensource distributed filesystem product.,"c, python, javascript, git, tcp/udp","testing, kernel, network, storage, filesystems",https://www.openafs.org,"An opensource distributed filesystem product.
AFS is a distributed filesystem product, pioneered at Carnegie Mellon University and supported and developed as a product by Transarc Corporation (now IBM Pittsburgh Labs). It offers a client-server architecture for federated file sharing and replicated read-only content distribution, providing location independence, scalability, security, and transparent migration capabilities. AFS is available for a broad range of heterogeneous systems including UNIX, Linux, MacOS X, and Microsoft Windows IBM branched the source of the AFS product, and made a copy of the source available for community development and maintenance. They called the release OpenAFS. The OpenAFS Foundation is dedicated to fostering the stability and growth of OpenAFS by providing strategic direction and aiming to raise money to support the development and maintenance of OpenAFS",https://www.openafs.org/gsoc.html,https://www.openafs.org/gsoc/project-ideas.html
OpenAstronomy,Look at the Universe with the power of Open Source,"c, python, c++, julia","image processing, astronomy, data analysis, solar physics, high energy astrophysics",https://openastronomy.org/,"Look at the Universe with the power of Open Source
OpenAstronomy is a collaboration between open source astronomy, astrophysics & heliophysics projects that are used by researchers and software engineers around the world to study our universe either by analysing the data obtained from amazing instruments like the [James Webb Space telescope](https://jwst.nasa.gov/), the [Square Kilometer Array](https://www.skatelescope.org/) or the [Solar Dynamic Observatory](http://sdo.gsfc.nasa.gov/), developing very sophisticated numerical models (eg., [FLASH](http://flash.uchicago.edu/)) or designing interplanetary trajectories for human-made spacecraft. The analysis of such data helps multiple types of research, from being able to forecast solar storms to detecting planets in other stars, to understanding how galaxies are formed to explain the expansion and the origin of the universe. OpenAstronomy currently consists of [18 projects](https://openastronomy.org/members/) that develop tools, the range of which is wide. For example: - [Astropy](https://www.astropy.org/) is a general Python library for astronomy, providing common tools such as celestial coordinates, image processing, tabular data, reading and writing, units and support for astronomy-specific file formats; - [SunPy](https://sunpy.org/) provides utilities for obtaining and representing solar physics data, with access to the largest online solar physics data archives and solar specific analysis tools and visualisation code; - [Julia Astro](https://juliaastro.org/dev/index.html) is a set of packages for general astronomy and astrophysics analysis using Julia; - And more! As a single organisation, we strive to strengthen collaborations between each sub-organisation, and at the same time increase the awareness among our users on the capabilities of our ""sister"" projects. With the goal being unification of standards and libraries to enable true multidisciplinary research.",https://openastronomy.org/gsoc/student_guidelines.html,https://openastronomy.org/gsoc/gsoc2025/#/projects
OpenCV, beneficial uses of computer vision in society,"python, c++, deep learning, ai","robotics, computer vision, ai, deep learning",https://opencv.org/,"beneficial uses of computer vision in society
OpenCV promotes the beneficial uses of computer vision in society primarily through maintaining a state-of-the-art open and free code base and via courseware, contests, workshops and conferences. OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms (including running deep networks) and apps. It is professionally coded and optimized. It can be used in C++, Python, javascipt, Julia, Cuda, OpenCL and Matlab. It runs on: Android, iOS, Windows, Linux and MacOS and many embedded implementations such as Raspberry Pi, Movidius, and RISC-V.",https://github.com/opencv/opencv/wiki/How_to_contribute,https://github.com/opencv/opencv/wiki/GSoC_2025
OpenELIS Global,Empowering labs to Ensure Quality Health Care,"postgresql, javascript, java, react, spring","Health Care, Laboratory Information System",https://openelis-global.org/,"Empowering labs to Ensure Quality Health Care
OpenELIS Global (Open Enterprise laboratory Information System) is an open-source, standards-based, and secure lab information system for labs of any size and need. It is an enterprise-level laboratory information system built on open-source web-based technologies that has been tailored for low- and middle-income country public health laboratories. The software serves as both an effective laboratory software solution and a business process framework. It supports the effective functioning of public health laboratories for best laboratory practice and accreditation.",https://uwdigi.atlassian.net/wiki/spaces/OG/pages/245694473/GSoC+Guidelines+for+Students,https://uwdigi.atlassian.net/wiki/spaces/OG/pages/321224705/GSoC+2025
OpenMRS,"Write Code, Save Lives.","mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://openmrs.org/,"Write Code, Save Lives.
OpenMRS provides the foundational, electronic medical record technology for more than 6,500 health facilities in over 80 countries, touching and helping millions of patients throughout the world. The OpenMRS Community’s mission is to improve healthcare delivery in resource-constrained environments. We coordinate a global community that creates and sustains a robust, scalable, user-driven and open-source medical record platform and reference frontend application. We maintain a platform that countries and implementers use to create a customized EMR system in response to actual needs on the ground.",https://wiki.openmrs.org/display/RES/GSoC+-+Proposal+Guidelines,https://openmrs.atlassian.net/wiki/spaces/RES/pages/322404353/Summer+of+Code+2025
OpenMS,OpenMS GSoC: Advancing Algorithms & AI for Biomedical Insights,"python, cython, c++, r, pytorch","automation, deep learning, algorithms, webdev",https://openms.de,"OpenMS GSoC: Advancing Algorithms & AI for Biomedical Insights
OpenMS is an open-source C++ software library for mass spectrometry data management and analysis with python wrappers. OpenMS houses an expansive modular toolset and ready-to-use scientific workflows in Galaxy, KNIME and nextflow.",https://openms.de/news/gsoc2025/,https://www.openms.org/news/gsoc2025/
OpenStreetMap,Create and distribute free geodata for the world,"python, javascript, java, c++, rust","databases, web, ui, geodata",https://www.openstreetmap.org/,"Create and distribute free geodata for the world
OpenStreetMap is a crowdsourcing project that creates and distributes free geographic data for the world. Our data is collected by hundreds of thousands of contributors around the globe and released with an open-content license. We allow free access not only to our map products, but all the underlying map data, which powers websites and apps used by billions of people worldwide. OSM data can be freely used in both open and closed source software, and has attracted many commercial users. Still, the success of OSM wouldn't be possible without open source software and volunteer developers. The database, website and API running on our own servers, the editing tools used by contributors to improve the map, and many of the most popular libraries and end-user applications within the OSM software ecosystem are all open source software, and developed through a community-driven process. As our Google Summer of Code participation spans this diverse set of software projects, most of which are maintained as independent efforts under the OSM umbrella, contributors will encounter a wide range of programming languages, paradigms and use cases. We hope that we have interesting challenges to offer for any developer, no matter their background!",https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025,https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025/Project_ideas
openSUSE Project,"Makers' choice for sysadmins, developers & users","python, c/c++, go, ruby, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, systems management",https://get.opensuse.org/,"Makers' choice for sysadmins, developers & users
The openSUSE Project is a worldwide effort that promotes the use of Linux, tools around it, and open source. The openSUSE community is made up of multiple contributing communities that collaborate as part of a global open-source network. The openSUSE community develops, builds and maintains many of the packages, tools and infrastructure for the distribution. The community works together in an open, transparent and friendly manner as part of the global Free and Open Source Software community. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools, such as OBS, OpenQA, Kiwi, YaST, OSEM and Uyuni. Distributions include a rolling release (Tumbleweed), a stable annual release (Leap) and operating systems for edge, embedded, cloud and containers through MicroOS and ALP. The project is controlled by its community and relies on the contributions of individuals, working as testers, writers, translators, usability experts, artists and ambassadors or developers. The project embraces a wide variety of technology, people with different levels of expertise, speaking different languages and having different cultural backgrounds.",https://github.com/openSUSE/mentoring/wiki/Contributor-Guidance-for-Google-Summer-of-Code,https://github.com/openSUSE/mentoring/issues
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,"python, c++, arm, x86","ai, deep learning, neural network, inference, gen ai",https://docs.openvino.ai/,"Make AI inference faster and easier to deploy!
OpenVINO is an open-source toolkit for optimizing and deploying deep learning models from cloud to edge. It accelerates deep learning inference across various use cases, such as generative AI, video, audio, and language with models from popular frameworks like PyTorch, TensorFlow, ONNX, and more. Convert and optimize models, and deploy across a mix of Intel hardware and environments, on-premises and on-device, in the browser or in the cloud.",https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#application-template,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#project-ideas-for-2025
OpenWISP,The Hackable Network Management System,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.org,"The Hackable Network Management System
OpenWISP is an open source network management system which runs on low cost hardware and can be used to manage networks: from public wifi, university wifi, to mesh networks and IoT.",https://openwisp.io/docs/developer/contributing.html,https://openwisp.io/docs/dev/developer/gsoc-ideas-2025.html
